01,12,1725955369541,1725961483886
01,12,1725959274677,1725961354731
02,12,1725953210408,1725959966161
01,79215433555,1725962726591,1725962908837
01,12,1725955999094,1725961399188
02,79215763555,1725954648931,1725962594751
01,12,1725954868188,1725955207717
01,79212133555,1725956205943,1725956372261
01,12,1725960267943,1725962833097
01,12,1725960176914,1725961308591
01,79215233555,1725958012280,1725961665146
02,12,1725952425230,1725961745543
01,12,1725961368144,1725962946274
01,12,1725959999897,1725961503502
02,12,1725960912536,1725962194718
01,79215433555,1725961786612,1725962497606
02,12,1725954954069,1725957813805
02,79212131255,1725958666347,1725959292234
01,79215553555,1725962370067,1725962588075
01,12,1725958492634,1725961274277
02,79213213555,1725959508397,1725962336289
02,79215553555,1725959716585,1725962527414
01,79215433555,1725959439456,1725961562044
02,12,1725962826788,1725962903926
01,79115763555,1725959593204,1725959971650
02,79115763555,1725954256894,1725958849963
02,12,1725954633489,1725962690183
02,12,1725952759855,1725960759766
01,79215433555,1725960746158,1725961637384
02,79215763555,1725957868363,1725960423239
01,79215233555,1725962489423,1725962539599
02,79212131155,1725956325193,1725961109013
01,12,1725962147914,1725962956475
02,79215763555,1725953627122,1725956515794
01,79215553555,1725959493996,1725961739115
02,12,1725955876379,1725958743509
02,12,1725959628915,1725961832549
01,12,1725960981228,1725961740914
01,12,1725955909214,1725961584948
01,79212133555,1725957625608,1725962968126
02,12,1725953048065,1725954228033
02,12,1725956051038,1725959794383
01,12,1725954675900,1725961615846
01,79212131155,1725958900572,1725959447765
02,12,1725962725343,1725962809115
02,79211233555,1725958627848,1725962834508
02,12,1725960548094,1725961724877
02,79215433555,1725954656694,1725961246603
02,12,1725955350496,1725958463649
02,12,1725960029650,1725961859013
